milo,name,telefon
 damaxtravel@gmail.com,Агенство Клуб Путешествий DAMAX, +380487117676
 valiza_tour@ukr.net,Агенство Червона Валіза, (03472) 6-29-95
 kontinental@meta.ua,"Агенство ""Континенталь""", (0572)758-26-68
 ,Агенство ЮГ Тревел , +38-095-327-89-70
 gulko_i@poehalisnami.com,Агенство ТА  Поехали с нами ( м. Черниговская и  м. Крещатик ),  044-233-14-72
 meteorit-tour@i.ua,"Агенство ТА ""МЕТЕОРИТ-ТУР""", 056-376-03-33
 basanets77@meta.ua,"Агенство ТК ""Поехали с нами!""", 0542 650-445
 flametur@ukr.net,Агенство Флейм-Тур, +38044 599-70-79
 alami.agent@com.ua,Агенство ALAMI туристическая компания, 380954065775
 info@garanttravel.com.ua,Агенство Garant Travel, 044 221 58 47 
 unimaptravel@gmail.com,"Агенство Сеть Агенств Горящих Путевок ""Uni Maps Travel""", +38 067 240 90 65
 ditur@ukr.net,"Агенство Туристичне агенство ""Казкова подорож"" ", +380675966388
 info@steptour.com.ua,"Агенство Туристическое агентство ""Степ тур""", 095-132-77-88
 suzirya-tour1@i.ua,"Агенство АГП ""Сузір'я тур""", (044)220-25-77
 mandry.tur@gmail.com,"Агенство ТА""Мандры- Тур"" ", (0382)75-25-86
 bigcitytour@gmail.com,"Агенство Туристическая компания  ""Туры в большом городе""", 380504101246
 putevkizp@gmail.com,"Агенство ""Магазин Горящих Путевок г. Запорожье""", +38 061 707 11 60
 ,Агенство ООО ТК КРУГОСВЕТ, 095 736 7373
 restbest@i.ua,"Агенство ТА ""RESTBEST""", 095 329 09 15
 tatyana_davydova@ukr.net,Агенство Life Travel, 717-72-91
